"","ID Genero Pai","Genero Pai","ID Subgenero","Subgenero"
"1",2,"International",46,"Latin America"
"2",2,"International",77,"French"
"3",2,"International",79,"Reggae - Dub"
"4",2,"International",86,"Indian"
"5",2,"International",92,"African"
"6",2,"International",102,"Middle East"
"7",2,"International",117,"Polka"
"8",2,"International",118,"Balkan"
"9",2,"International",130,"Europe"
"10",2,"International",171,"Brazilian"
"11",2,"International",172,"Asia-Far East"
"12",2,"International",176,"Pacific"
"13",2,"International",177,"Celtic"
"14",2,"International",232,"Flamenco"
"15",2,"International",504,"Latin"
